Episode,Loss
193,29583930.37109375
194,29430016.3828125
195,29183629.1875
196,29941008.734375
197,30409007.73046875
198,32288555.17578125
199,31208658.98828125
200,31552481.25390625
201,31579047.4609375
202,31658138.37890625
203,29455954.091796875
204,29960286.99609375
205,30978070.681640625
206,28758125.19921875
207,28421152.67578125
208,27478088.46484375
209,27637259.85546875
210,28669143.95703125
211,25865394.939453125
212,27854452.1484375
213,26592118.9609375
214,25970358.0078125
215,27618725.33203125
216,26735538.2109375
217,26794999.53515625
218,24209237.01953125
219,24010664.728515625
220,23283086.9296875
221,23272651.740234375
222,22661503.990234375
223,23821683.447265625
224,23071672.9609375
225,24200668.71484375
226,22999560.052734375
227,21621577.673828125
228,19429040.83203125
229,19222514.5625
230,19364507.564453125
231,19069463.33984375
232,19096701.380859375
233,19228162.46875
234,18719806.482421875
235,20218212.498046875
236,21605602.470703125
237,22299813.798828125
238,23272621.19140625
239,23008602.71484375
240,22887090.5625
241,24134179.2734375
242,25190904.400390625
243,27753123.22265625
244,26617632.1796875
245,25386019.578125
246,23949879.3125
247,22240975.654296875
248,20942741.068359375
249,22889870.4296875
250,21676871.602539062
251,21093344.95703125
252,20557012.609375
253,22864553.91796875
254,23977539.080078125
255,22934414.494140625
256,23296360.98828125
257,23180409.1484375
258,22879876.1484375
259,24087859.546875
260,26132876.560546875
261,27538391.107421875
262,28734338.7109375
263,27576599.3203125
264,28589491.8984375
265,27818990.45703125
266,27123402.0390625
267,27100695.94921875
268,28489216.669921875
269,29092113.861328125
270,28728916.345703125
271,30737252.00390625
272,30450842.4609375
273,31182047.677734375
274,32070558.6328125
275,33041646.1171875
276,32969233.7890625
277,30203599.6015625
278,29433942.708984375
279,30474721.9296875
280,29769630.2265625
281,31009354.96484375
282,30125365.96875
283,29014177.126953125
284,27894643.66015625
285,27977674.55859375
286,28253514.953125
287,30827539.875
288,29102553.806640625
289,28128973.341796875
290,29259731.7734375
291,29433846.37109375
292,31070567.39453125
293,30615687.94921875
294,29445640.88671875
295,28473397.837890625
296,28515528.3671875
297,29529887.544921875
298,29650283.57421875
299,30605250.19921875
300,30127502.447265625
301,31847159.2421875
302,30335516.93359375
303,31110413.9921875
304,33923746.6796875
305,31922596.8671875
306,33243972.1328125
307,31458512.76171875
308,31998299.31640625
309,32532045.514648438
310,33204803.70703125
311,31412549.0390625
312,31418978.95703125
313,32006874.234375
314,30267410.38671875
315,28047696.724609375
316,28838139.95703125
317,29174456.578125
318,28494182.85546875
319,28123873.78125
320,26967652.0390625
321,28545007.53125
322,28546240.515625
323,27667747.99609375
324,28197784.8359375
325,26971725.515625
326,26556758.48046875
327,26160436.484375
328,26485126.388671875
329,26845224.6796875
330,24528434.12890625
331,25133728.900390625
332,25060462.91015625
333,24527194.7578125
334,24439176.421875
335,24157327.75
336,23736051.130859375
337,23140571.681640625
338,23707274.275390625
339,24414666.65625
340,23855706.5625
341,24308819.50390625
342,23797424.146484375
343,23881833.66015625
344,23504326.060546875
345,23549144.994140625
346,23432503.9140625
347,23267068.90234375
348,23602178.296875
349,23681308.04296875
350,23090018.3203125
351,23022321.650390625
352,23060710.5625
353,21991067.763671875
354,21821135.2734375
355,21674615.01953125
356,21520719.181640625
357,21446737.53515625
358,21533770.2265625
359,21152943.05078125
360,22389712.5859375
361,21798090.453125
362,21651104.05078125
363,22033990.953125
364,21783623.0390625
365,21513774.609375
366,20935912.03125
367,21754560.513671875
368,21798936.890625
369,20095365.04296875
370,20643880.41015625
371,20974477.3046875
372,20634736.140625
373,19898343.66796875
374,20374029.033203125
375,20027807.666015625
376,19385727.8671875
377,19986081.841796875
378,19223637.67578125
379,20119454.033203125
380,21129034.9453125
381,19935055.84375
382,20094539.869140625
383,20506347.326171875
384,21769356.5546875
385,21779660.013671875
386,20214546.58203125
387,20511540.708984375
388,21310794.970703125
389,20418396.685546875
390,19318921.05078125
391,21003868.310546875
392,20032782.0
393,19757610.81640625
394,18878132.736328125
395,19603764.810546875
