d1,d2,d3,d4,d5,d6,d7,AVT,Jph,CRI,x,y,w_avt,w_jph
25.9527,6.1529,47.0298,212.3427,5.0000,5.0000,100.0000,0.1000,41.9200,37.2000,0.2001,0.3474,0.0100,0.9900
25.7467,5.0000,69.9756,188.0459,49.8781,5.0000,26.3456,7.0700,39.1000,71.8000,0.2899,0.3679,0.1189,0.8811
34.9432,10.8776,21.3002,66.3768,5.0000,6.6901,21.1604,16.5700,36.3500,87.3000,0.2841,0.3389,0.2278,0.7722
32.7841,10.2652,41.0482,51.5341,5.0000,5.0000,17.9083,23.9900,34.0300,91.8000,0.3002,0.3462,0.3367,0.6633
30.0580,9.5612,10.0000,50.0000,19.7721,5.0000,13.2469,32.2800,30.1800,93.5000,0.2951,0.3337,0.5544,0.4456
32.9754,7.9155,10.0000,50.0000,21.2479,5.0000,10.1918,37.0000,27.6700,94.8000,0.2939,0.3319,0.6633,0.3367
48.2466,6.4055,10.0000,50.0000,41.6707,5.0000,10.0000,43.5000,22.3600,77.5000,0.3361,0.4004,0.9900,0.0100
