Episode,Step,d1p,d2p,d3p,A,B,CRI,x,y,Reward,Action
1,29,26.0,13.0,24.0,92.31378469033216,3.853130906767382,97.95397153374412,0.3098191470156726,0.3317422127437903,5,"['d3', 'forward']"
1,30,27.0,13.0,24.0,92.34875086859716,3.9077439675115895,97.94340470760426,0.31064101848306475,0.331854269783587,5,"['d1', 'forward']"
1,31,27.0,13.0,25.0,92.57106456734223,3.9254254312657784,97.91271368656957,0.31116003721811697,0.3316928875068933,5,"['d3', 'forward']"
1,32,27.0,12.0,25.0,92.82316389611304,3.8043190059297487,97.68281046960779,0.3151368019218611,0.33354110018414224,5,"['d2', 'backward']"
1,33,27.0,11.0,25.0,92.47648095791901,3.670105567893609,98.55539799909265,0.31861137345360174,0.3349817630274245,-5,"['d2', 'backward']"
1,34,27.0,11.0,24.0,92.51392717642129,3.651282099200217,98.82714372306214,0.31840254778332133,0.33539484967375105,5,"['d3', 'backward']"
1,35,27.0,11.0,25.0,92.47648095791901,3.670105567893609,98.55539799909265,0.31861137345360174,0.3349817630274245,-5,"['d3', 'forward']"
1,36,27.0,11.0,24.0,92.51392717642129,3.651282099200217,98.82714372306214,0.31840254778332133,0.33539484967375105,5,"['d3', 'backward']"
1,37,27.0,11.0,25.0,92.47648095791901,3.670105567893609,98.55539799909265,0.31861137345360174,0.3349817630274245,-5,"['d3', 'forward']"
1,38,28.0,11.0,25.0,92.23760159918875,3.7191811117580365,98.26850448294358,0.3189015481294563,0.3346233568825853,-5,"['d1', 'forward']"
1,39,28.0,11.0,24.0,92.24667079990635,3.6993935009655847,98.54508502938528,0.31880603665134305,0.3351349679300407,5,"['d3', 'backward']"
1,40,28.0,11.0,25.0,92.23760159918875,3.7191811117580365,98.26850448294358,0.3189015481294563,0.3346233568825853,-5,"['d3', 'forward']"
1,41,28.0,11.0,26.0,92.18657143737536,3.7386401030798884,97.9862316312767,0.31895353949714617,0.3340725684338708,-5,"['d3', 'forward']"
1,42,28.0,10.0,26.0,91.04801198920332,3.589416281020896,97.16017361710625,0.3215383993427833,0.3349135312980383,-5,"['d2', 'backward']"
1,43,28.0,11.0,26.0,92.18657143737536,3.7386401030798884,97.9862316312767,0.31895353949714617,0.3340725684338708,5,"['d2', 'forward']"
1,44,27.0,11.0,26.0,92.39369478211536,3.6887839473379413,98.2757041146165,0.3187745520838153,0.33452435616347587,5,"['d1', 'backward']"
1,45,27.0,12.0,26.0,92.8574068546642,3.822149669614678,97.47378788571483,0.31546224534814526,0.3332021628002274,5,"['d2', 'forward']"
1,46,28.0,12.0,26.0,92.75110795021556,3.8735564798322333,97.23588398845627,0.31581912470942636,0.3328777137020842,-5,"['d1', 'forward']"
1,47,29.0,12.0,26.0,92.58749150755881,3.9219193272897748,96.98136515430676,0.3161298869437567,0.33250869308220954,-5,"['d1', 'forward']"
1,48,29.0,12.0,25.0,92.49400383321576,3.903069332304168,97.23235473251013,0.3160356334900657,0.33304559576969567,-5,"['d3', 'backward']"
1,49,29.0,12.0,26.0,92.58749150755881,3.9219193272897748,96.98136515430676,0.3161298869437567,0.33250869308220954,5,"['d3', 'forward']"
1,50,29.0,12.0,25.0,92.49400383321576,3.903069332304168,97.23235473251013,0.3160356334900657,0.33304559576969567,-5,"['d3', 'backward']"
1,51,30.0,12.0,25.0,92.23973390114156,3.9480945111918833,98.55121300578854,0.3164099394254793,0.33272244042871846,-5,"['d1', 'forward']"
1,52,29.0,12.0,25.0,92.49400383321576,3.903069332304168,97.23235473251013,0.3160356334900657,0.33304559576969567,5,"['d1', 'backward']"
1,53,29.0,13.0,25.0,92.46313131048036,4.026847741490201,97.76899338809571,0.3124338911360962,0.33150795377241904,-5,"['d2', 'forward']"
1,54,30.0,13.0,25.0,92.30367570185071,4.072615966889458,97.60578797417837,0.31300397052385,0.3313376553900496,-5,"['d1', 'forward']"
1,55,30.0,13.0,26.0,92.54694524635762,4.0903422826780655,97.38157121538863,0.31313447377815773,0.330821086794161,5,"['d3', 'forward']"
1,56,30.0,13.0,27.0,92.73789486918027,4.106598368889581,97.13252935622195,0.3132387748635678,0.33028518123492645,5,"['d3', 'forward']"
1,57,31.0,13.0,27.0,92.58021372606423,4.1485672244501135,96.86071062803414,0.3135395628108534,0.32989555133126164,-5,"['d1', 'forward']"
1,58,32.0,13.0,27.0,92.36004195597333,4.186854570525582,96.57783236819884,0.31379878697140495,0.32947452735057065,-5,"['d1', 'forward']"
1,59,32.0,13.0,26.0,92.09209980763004,4.171368481536861,96.84465894060646,0.3139072334670668,0.33016277971260627,-5,"['d3', 'backward']"
1,60,32.0,12.0,26.0,91.76328893162432,4.048000261777209,97.63201947689815,0.3167737194316865,0.3311538180738987,-5,"['d2', 'backward']"
1,61,32.0,12.0,27.0,91.92940250949503,4.065309795661666,97.34656784459496,0.31652263592952373,0.33036541038603684,5,"['d3', 'forward']"
1,62,31.0,12.0,27.0,92.21571844575325,4.026837783986899,97.65984408943518,0.31645560404527584,0.3309224502603732,5,"['d1', 'backward']"
1,63,32.0,12.0,27.0,91.92940250949503,4.065309795661666,97.34656784459496,0.31652263592952373,0.33036541038603684,-5,"['d1', 'forward']"
1,64,32.0,12.0,28.0,92.0565830005106,4.080877831160603,97.06294920620053,0.3162488003670736,0.32957315997687125,5,"['d3', 'forward']"
1,65,32.0,13.0,28.0,92.58099528699256,4.200385959033933,96.3068939714299,0.3136732440484734,0.32878708533515544,5,"['d2', 'forward']"
1,66,32.0,12.0,28.0,92.0565830005106,4.080877831160603,97.06294920620053,0.3162488003670736,0.32957315997687125,-5,"['d2', 'backward']"
1,67,33.0,12.0,28.0,91.76810113619007,4.11534662122537,96.75764704128798,0.31618310581168557,0.3289384285622014,-5,"['d1', 'forward']"
1,68,32.0,12.0,28.0,92.0565830005106,4.080877831160603,97.06294920620053,0.3162488003670736,0.32957315997687125,5,"['d1', 'backward']"
1,69,32.0,13.0,28.0,92.58099528699256,4.200385959033933,96.3068939714299,0.3136732440484734,0.32878708533515544,5,"['d2', 'forward']"
1,70,32.0,13.0,27.0,92.36004195597333,4.186854570525582,96.57783236819884,0.31379878697140495,0.32947452735057065,-5,"['d3', 'backward']"
1,71,32.0,14.0,27.0,92.271547982069,4.295685208820384,97.28880180040008,0.31064728999592883,0.32829289098070846,-5,"['d2', 'forward']"
1,72,33.0,14.0,27.0,92.05612482644017,4.329872052863483,97.01519354315795,0.31106550168684094,0.3279963506212919,-5,"['d1', 'forward']"
1,73,33.0,15.0,27.0,91.5366409509785,4.426424914805205,97.6653357339687,0.3077417691399669,0.32669017263739764,-5,"['d2', 'forward']"
