Episode,Loss
1,11.14760503284434
2,7.4410696086883545
3,10.330026303291321
4,22.959086025238037
5,33.56911985778809
6,61.320244483947754
7,100.96287113571167
8,82.05493910217285
9,69.50051002502441
10,79.19851560592652
11,86.81253959655761
12,82.67540105438232
13,99.19162951660157
14,85.12406452560425
15,81.01183288955689
16,79.35141353988648
17,94.73770881652833
18,90.86990204620362
19,97.50810305023194
20,101.64272829437256
21,98.38250186920166
22,111.55787403869628
23,110.22891752624511
24,107.02820812988281
25,85.71025401687622
26,82.22729109954834
27,82.6163263015747
28,135.69026298522948
29,128.62375144195556
30,131.37525949096678
31,209.37423446655274
32,303.0789904785156
33,235.4662518081665
34,234.04617308044433
35,265.9959674911499
36,241.90097734069823
37,280.2637651977539
38,246.72933907318117
39,229.19306106567382
40,288.4043088684082
41,242.28575485229493
42,256.4496536712646
43,290.72282011413574
44,310.12874198913573
45,353.927579864502
46,396.96287351989747
47,392.47335902404785
48,419.11514584350584
49,421.885642868042
50,447.1921283569336
51,489.11823127746584
52,597.4562070007324
53,587.6393131103515
54,554.6411625061036
55,531.2500274200439
56,575.6909076385498
57,555.9460862426757
58,610.7368084411621
59,636.959366607666
60,656.4651822509766
61,670.5395668640136
62,571.6913850708008
63,699.4584638366699
64,730.8997041015625
65,772.273290802002
66,885.078197479248
67,875.0494860534668
68,859.331427947998
69,888.3569796142579
70,917.5093743286133
71,795.4467441101074
72,693.7101812133789
73,667.2993171081542
74,584.7743027648926
75,593.4216492309571
76,549.0901669311523
77,475.2627438659668
78,487.29456130981447
79,431.9240294036865
80,376.1134856567383
81,375.55700189208983
82,327.66724424743654
83,330.1906582183838
84,326.6241050567627
85,292.3650268554687
86,294.15654621887205
87,292.4166277770996
88,336.06482299804685
89,264.13051744079587
90,328.048280960083
91,329.98940869140625
92,312.12384436035154
93,279.687336227417
94,257.80082109069826
95,251.85628245544433
96,239.2212176132202
97,226.53875575256347
98,240.3235565032959
99,247.08300311279297
100,231.12276992034913
